idx,filename,type,xmin,xmax,ymin,ymax,class,label
00001,000001163.jpg,MPII,467.96543778801845,591.836405529954,84.73963133640564,476.99769585253455,standing,0
00001,000001163.jpg,MPII,521.0529953917052,712.7580645161291,120.13133640552996,606.7672811059908,standing,0
00002,000003072.jpg,MPII,358.84101382488484,512.2050691244241,78.84101382488484,612.6658986175115,standing,0
00002,000003072.jpg,MPII,591.836405529954,898.5645161290323,123.08064516129025,597.9193548387096,standing,0
00003,000004812.jpg,MPII,1312.205069124424,1825.384792626728,471.92857142857144,1069.1635944700463,bent,4
00004,000005283.jpg,MPII,852.1129032258063,1152.942396313364,7.412442396313281,755.0622119815669,standing,0
00004,000005283.jpg,MPII,1183.910138248848,1467.0437788018432,11.836405529953936,909.9009216589864,standing,0
00005,000013469.jpg,MPII,50.6774193548387,282.8709677419356,9.290322580645181,475.64516129032245,standing,0
00006,000015774.jpg,MPII,429.6244239631336,877.9193548387099,223.3571428571429,571.3755760368664,occlusion,5
00007,000022704.jpg,MPII,604.3709677419354,1073.311059907834,122.43548387096769,1073.587557603687,standing,0
00008,000024087.jpg,MPII,900.7764976958524,1060.0391705069123,294.97004608294935,799.3018433179725,standing,0
00009,000024100.jpg,MPII,550.5460829493088,933.9562211981569,40.5,665.7534562211981,standing,0
00010,000024293.jpg,MPII,42.527649769585025,670.7304147465436,7.412442396313281,1073.587557603687,standing,0
00011,000025245.jpg,MPII,135.43087557603667,338.9331797235023,104.73963133640541,706.3986175115208,standing,0
00011,000025245.jpg,MPII,436.2603686635944,728.241935483871,135.7073732718893,821.4216589861753,standing,0
00011,000025245.jpg,MPII,945.016129032258,1232.573732718894,73.77188940092162,777.1820276497697,standing,0
00011,000025245.jpg,MPII,1382.9884792626726,1520.1313364055297,157.82718894009213,710.8225806451615,standing,0
00011,000025245.jpg,MPII,1493.5875576036865,1913.864055299539,64.92396313364043,1073.587557603687,standing,0
00012,000030708.jpg,MPII,49.16359447004612,1276.0760368663596,187.96543778801845,609.7165898617511,sitting,1
00013,000030973.jpg,MPII,880.8686635944699,948.7027649769587,423.91013824884794,597.9193548387096,standing,0
00014,000033016.jpg,MPII,414.87788018433184,786.4907834101384,13.956221198156754,695.2465437788019,standing,0
00015,000040154.jpg,MPII,462.06682027649777,700.9608294930877,40.5,432.758064516129,standing,0
00016,000041029.jpg,MPII,172.29723502304148,473.126728110599,36.26036866359442,477.18202764976957,occlusion,5
00017,000050999.jpg,MPII,675.1543778801843,1175.0622119815666,264.00230414746545,732.9423963133643,occlusion,5
00018,000055418.jpg,MPII,223.17281105990787,344.0944700460831,108.3341013824886,497.6428571428571,standing,0
00018,000055418.jpg,MPII,240.86866359447012,506.3064516129034,267.59677419354836,680.5,standing,0
00018,000055418.jpg,MPII,886.767281105991,1034.2327188940092,302.98847926267274,715.8917050691244,standing,0
00018,000055418.jpg,MPII,394.2327188940093,526.951612903226,5.108294930875559,285.2926267281106,standing,0
00019,000059794.jpg,MPII,63.910138248848,211.37557603686642,288.241935483871,556.6290322580645,standing,0
00020,000061164.jpg,MPII,719.3940092165899,1121.9746543778801,153.4032258064516,1078.0115207373274,standing,0
00021,000065339.jpg,MPII,574.1405529953917,857.2741935483872,49.34792626728108,589.0714285714286,kneeling,3
00022,000071686.jpg,MPII,138.38018433179727,505.56912442396316,73.12672811059906,477.18202764976957,sitting,1
00023,000078951.jpg,MPII,10.822580645161366,255.615207373272,75.89170506912444,718.8410138248848,standing,0
00023,000078951.jpg,MPII,355.89170506912455,621.3294930875577,43.449308755760285,715.8917050691244,standing,0
00023,000078951.jpg,MPII,630.1774193548389,742.2511520737329,167.3202764976959,538.9331797235023,standing,0
00023,000078951.jpg,MPII,709.8087557603687,851.3755760368664,128.97926267281105,547.7811059907834,standing,0
00024,000085370.jpg,MPII,146.4907834101383,361.79032258064524,114.23271889400928,715.8917050691244,sitting,1
00024,000085370.jpg,MPII,370.63824884792643,636.0760368663596,67.04377880184325,715.8917050691244,sitting,1
00024,000085370.jpg,MPII,585.9377880184333,813.0345622119818,87.68894009216592,718.8410138248848,sitting,1
00024,000085370.jpg,MPII,810.0852534562213,1090.2695852534562,69.99308755760364,709.9930875576036,sitting,1
00025,000090584.jpg,MPII,719.3940092165899,852.1129032258063,277.2741935483871,821.4216589861753,standing,0
00026,000094304.jpg,MPII,303.54147465437774,807.8732718894009,365.75345622119823,1073.587557603687,standing,0
00026,000094304.jpg,MPII,608.794930875576,847.6889400921659,215.3387096774194,918.7488479262674,standing,0
00027,000094342.jpg,MPII,158.2880184331798,683.2649769585255,131.92857142857144,712.942396313364,occlusion,5
00028,000099186.jpg,MPII,173.0345622119816,1019.4861751152074,2.158986175115274,485.84562211981563,occlusion,5
00029,000099899.jpg,MPII,10.822580645161366,226.1221198156683,8.057603686635957,720.0,bent,4
00029,000099899.jpg,MPII,223.1728110599079,450.2695852534563,385.5691244239631,718.8410138248848,bent,4
00030,000109154.jpg,MPII,155.3387096774194,585.9377880184333,43.4493087557604,715.8917050691244,occlusion,5
00030,000109154.jpg,MPII,845.4769585253458,1172.8502304147466,252.85023041474653,459.3018433179724,occlusion,5
00031,000111209.jpg,MPII,110.36175115207377,408.2419354838709,5.2926267281105766,413.7718894009217,standing,0
00032,000114595.jpg,MPII,218.36175115207368,445.0161290322581,100.79493087557603,432.96082949308754,bent,4
00033,000120361.jpg,MPII,1.237327188940128,259.3018433179723,176.35253456221193,478.6566820276498,bent,4
00033,000120361.jpg,MPII,383.1728110599078,607.3202764976959,136.53686635944712,425.56912442396316,bent,4
00034,000124344.jpg,MPII,217.27419354838713,400.1313364055301,220.4078341013825,559.5783410138249,sitting,1
00034,000124344.jpg,MPII,288.05760368663607,612.4815668202766,244.0023041474654,639.2096774193549,sitting,1
00034,000124344.jpg,MPII,662.6198156682029,854.3248847926269,199.76267281105993,497.6428571428571,sitting,1
00035,000128443.jpg,MPII,1051.1912442396313,1303.3571428571427,109.16359447004606,954.140552995392,standing,0
00036,000131987.jpg,MPII,545.7534562211981,853.2188940092167,189.07142857142856,627.0437788018435,bent,4
00037,000135363.jpg,MPII,5.661290322580683,250.45391705069125,99.67050691244236,466.85944700460834,standing,0
00037,000135363.jpg,MPII,288.79493087557603,403.8179723502304,107.04377880184336,401.9746543778802,standing,0
00038,000142573.jpg,MPII,1245.8456221198157,1759.0253456221199,25.108294930875445,1073.587557603687,bent,4
00039,000142834.jpg,MPII,273.31105990783414,686.2142857142857,1.0,718.8410138248847,standing,0
00040,000144722.jpg,MPII,240.8686635944701,668.5184331797236,167.3202764976959,720.0,bent,4
00041,000147382.jpg,MPII,342.25115207373267,541.3294930875577,107.22811059907838,627.0437788018435,standing,0
00042,000156511.jpg,MPII,397.18202764976957,524.0023041474656,244.00230414746545,683.4493087557604,standing,0
00042,000156511.jpg,MPII,615.430875576037,733.4032258064517,252.85023041474653,633.3110599078341,standing,0
00042,000156511.jpg,MPII,892.6658986175117,1034.2327188940092,258.7488479262673,651.0069124423964,standing,0
00043,000165249.jpg,MPII,630.1774193548387,866.1221198156683,182.06682027649777,450.4539170506912,bent,4
00044,000170503.jpg,MPII,506.3064516129033,1273.126728110599,2.158986175115274,718.8410138248848,occlusion,5
00045,000172482.jpg,MPII,692.2972350230415,811.7442396313364,442.6198156682027,913.7718894009215,standing,0
00045,000172482.jpg,MPII,1166.7672811059908,1402.3433179723502,409.4400921658987,1049.8087557603685,standing,0
00046,000187274.jpg,MPII,435.5230414746544,1022.4354838709679,40.5,712.942396313364,standing,0
00047,000199214.jpg,MPII,78.2258064516129,725.6129032258065,37.74193548387103,466.70967741935476,bent,4
00048,000208064.jpg,MPII,683.2649769585254,789.4400921658987,31.652073732718918,462.25115207373267,standing,0
00049,000208151.jpg,MPII,533.5875576036865,1440.4999999999998,118.01152073732715,1007.2281105990785,lying,2
00050,000214092.jpg,MPII,730.4539170506912,886.767281105991,300.03917050691246,603.8179723502304,standing,0
00050,000214092.jpg,MPII,969.3479262672812,1249.532258064516,137.82718894009213,715.8917050691244,standing,0
00051,000234747.jpg,MPII,397.18202764976957,898.5645161290323,75.89170506912444,718.8410138248848,occlusion,5
00052,000245459.jpg,MPII,385.3847926267281,562.3433179723504,182.06682027649777,715.8917050691244,standing,0
00053,000249545.jpg,MPII,255.61520737327191,677.3663594470047,31.652073732718918,712.942396313364,sitting,1
00054,000252176.jpg,MPII,595.5230414746543,1312.205069124424,175.5230414746544,1078.0115207373274,occlusion,5
00055,000252755.jpg,MPII,405.2926267281105,1099.8548387096773,7.412442396313281,932.0207373271892,occlusion,5
00056,000263216.jpg,MPII,299.85483870967744,388.3341013824886,420.96082949308754,562.5276497695852,standing,0
00056,000263216.jpg,MPII,813.0345622119818,889.7165898617512,415.06221198156686,571.3755760368664,standing,0
00057,000267099.jpg,MPII,506.3064516129033,721.6059907834102,241.0529953917051,630.3617511520737,sitting,1
00058,000272874.jpg,MPII,281.4216589861749,1506.8594470046082,184.3709677419355,1069.1635944700463,sitting,1
00059,000275100.jpg,MPII,120.68433179723505,414.1405529953917,233.86405529953913,428.51843317972356,bent,4
00059,000275100.jpg,MPII,409.7165898617512,529.1635944700461,118.84101382488484,419.6705069124424,bent,4
00060,000298013.jpg,MPII,541.6981566820276,854.3248847926269,61.145161290322676,671.6520737327189,standing,0
00061,000302087.jpg,MPII,604.3709677419354,1303.3571428571427,91.4677419354839,1064.7396313364059,occlusion,5
00062,000312165.jpg,MPII,618.3801843317972,1013.5875576036868,155.5230414746544,712.942396313364,standing,0
00063,000316731.jpg,MPII,255.61520737327191,872.0207373271891,8.057603686635957,712.942396313364,sitting,1
00064,000321826.jpg,MPII,210.63824884792615,387.59677419354836,409.99308755760376,613.4953917050692,bent,4
00064,000321826.jpg,MPII,560.13133640553,768.057603686636,361.3294930875577,732.9423963133643,bent,4
00065,000324793.jpg,MPII,447.3202764976959,866.1221198156683,43.4493087557604,712.942396313364,standing,0
00066,000336238.jpg,MPII,485.6612903225806,680.3156682027651,161.4216589861751,712.942396313364,bent,4
00066,000336238.jpg,MPII,730.4539170506914,1084.3709677419356,279.3940092165899,715.8917050691244,bent,4
00067,000337885.jpg,MPII,139.8548387096772,679.5783410138249,197.6428571428571,1060.3156682027652,standing,0
00067,000337885.jpg,MPII,684.0023041474653,1042.3433179723502,206.4907834101382,1033.771889400922,standing,0
00068,000338399.jpg,MPII,300.5806451612904,422.58064516129036,46.67741935483872,452.032258064516,standing,0
00069,000338785.jpg,MPII,337.4585253456221,512.942396313364,92.29723502304148,372.48156682027656,sitting,1
00069,000338785.jpg,MPII,386.1221198156682,461.32949308755764,146.85944700460834,323.8179723502305,sitting,1
00070,000346846.jpg,MPII,465.01612903225805,936.9055299539172,43.4493087557604,621.5138248847926,sitting,1
00071,000350466.jpg,MPII,635.3387096774193,1024.647465437788,78.19585253456216,843.5414746543781,bent,4
00072,000351085.jpg,MPII,259.3018433179722,586.6751152073732,449.80875576036874,1051.4677419354841,sitting,1
00072,000351085.jpg,MPII,546.8594470046082,1064.463133640553,131.28341013824888,962.9884792626731,sitting,1
00072,000351085.jpg,MPII,843.2649769585253,1290.0852534562212,418.84101382488484,923.1728110599081,sitting,1
00072,000351085.jpg,MPII,1511.2834101382487,1920.0,405.5691244239632,1078.0115207373274,sitting,1
00073,000354899.jpg,MPII,192.94239631336404,362.52764976958525,112.94239631336404,419.6705069124424,standing,0
00074,000360424.jpg,MPII,301.91705069124436,471.75576036866363,64.1290322580644,405.67281105990764,standing,0
00075,000361586.jpg,MPII,105.20046082949312,305.75345622119823,22.804147465437836,370.8225806451612,occlusion,5
00076,000364670.jpg,MPII,111.83640552995394,175.24654377880188,263.3571428571428,425.56912442396316,standing,0
00076,000364670.jpg,MPII,471.65207373271886,518.8410138248848,278.10368663594477,415.2465437788019,standing,0
00077,000365631.jpg,MPII,438.4723502304148,751.099078341014,55.24654377880188,683.4493087557604,bent,4
00078,000371966.jpg,MPII,251.4009216589862,466.88940092165905,144.81105990783414,408.52073732718884,occlusion,5
00079,000374509.jpg,MPII,193.67972350230417,606.5829493087559,34.60138248847932,720.0,standing,0
00080,000377819.jpg,MPII,255.61520737327191,453.2188940092167,515.3387096774194,712.942396313364,bent,4
00080,000377819.jpg,MPII,594.7857142857144,789.4400921658987,244.0023041474654,659.8548387096774,bent,4
00081,000381992.jpg,MPII,391.2834101382489,1046.0299539170508,19.85483870967755,718.8410138248848,occlusion,5
00082,000383029.jpg,MPII,197.36635944700464,389.07142857142856,5.2926267281105766,227.9654377880185,occlusion,5
00083,000391837.jpg,MPII,297.64285714285717,591.0990783410139,43.63364055299536,310.5460829493088,bent,4
00084,000392606.jpg,MPII,553.4953917050691,759.9470046082951,31.652073732718918,689.3479262672811,standing,0
00085,000392932.jpg,MPII,361.79032258064524,845.4769585253458,58.19585253456228,712.942396313364,sitting,1
00085,000392932.jpg,MPII,854.3248847926269,1178.7488479262672,179.11751152073725,597.9193548387096,sitting,1
00086,000402528.jpg,MPII,164.18663594470053,877.9193548387099,40.5,718.8410138248848,occlusion,5
00087,000406059.jpg,MPII,781.3294930875575,1157.3663594470045,277.2741935483871,967.4124423963135,bent,4
00087,000406059.jpg,MPII,1183.910138248848,1661.6981566820275,228.610599078341,799.3018433179725,bent,4
00088,000410145.jpg,MPII,243.0806451612903,415.61520737327186,67.22811059907832,472.758064516129,sitting,1
00089,000412715.jpg,MPII,264.46313364055305,815.9838709677421,105.38479262672809,715.8917050691244,sitting,1
00090,000418744.jpg,MPII,138.38018433179727,479.0253456221198,28.887096774193537,477.18202764976957,sitting,1
00091,000419716.jpg,MPII,679.5783410138249,1175.0622119815666,11.836405529953936,989.5322580645163,standing,0
00092,000428176.jpg,MPII,258.47235023041475,349.7165898617513,113.58755760368672,360.7764976958527,standing,0
00093,000435958.jpg,MPII,87.50460829493096,674.4170506912444,131.92857142857144,712.942396313364,standing,0
00093,000435958.jpg,MPII,585.9377880184333,1057.8271889400921,140.77649769585253,712.942396313364,standing,0
00094,000436327.jpg,MPII,293.21889400921657,555.7073732718894,3.8179723502303773,407.87327188940094,sitting,1
00095,000437064.jpg,MPII,550.5460829493088,992.9423963133642,8.057603686635957,645.1082949308756,kneeling,3
00096,000437368.jpg,MPII,131.74423963133648,559.39400921659,99.4861751152074,715.8917050691244,sitting,1
00096,000437368.jpg,MPII,577.0898617511522,1225.9377880184331,120.13133640552996,712.942396313364,sitting,1
00097,000437398.jpg,MPII,122.15898617511505,785.7534562211981,179.94700460829495,847.9654377880186,sitting,1
00097,000437398.jpg,MPII,1179.4861751152073,1710.3617511520736,113.5875576036866,1078.0115207373274,sitting,1
00098,000440161.jpg,MPII,503.3571428571429,715.7073732718895,49.34792626728108,701.1451612903226,standing,0
00099,000448169.jpg,MPII,600.684331797235,786.4907834101384,137.82718894009213,556.6290322580645,bent,4
00099,000448169.jpg,MPII,836.6290322580647,1128.610599078341,167.3202764976959,562.5276497695852,bent,4
00099,000448169.jpg,MPII,341.1451612903227,594.7857142857144,155.5230414746543,406.21428571428567,bent,4
00100,000460055.jpg,MPII,276.26036866359453,1051.9285714285716,152.573732718894,577.2741935483871,lying,2
00101,000460994.jpg,MPII,712.758064516129,966.3986175115209,140.77649769585264,718.8410138248848,standing,0
00102,000463202.jpg,MPII,11.322580645161283,154.96774193548393,72.25806451612908,154.90322580645153,occlusion,5
00102,000463202.jpg,MPII,253.35483870967747,397.0000000000001,60.45161290322574,172.61290322580635,occlusion,5
00102,000463202.jpg,MPII,481.6129032258066,585.9032258064517,54.54838709677415,263.12903225806446,occlusion,5
00102,000463202.jpg,MPII,700.0322580645162,814.1612903225807,97.83870967741927,190.32258064516122,occlusion,5
00103,000464448.jpg,MPII,355.89170506912444,609.5322580645162,84.73963133640564,709.9930875576036,standing,0
